be,bo'lishi
grant,grant
seriously,jiddiy
minister,vazir
totally,umuman
hero,qahramon
industrial,sanoat
cloud,bulut
stretch,cho'zish
winner,g'olib
volume,hajmi
seed,urug '
surprised,hayron qoldi
fashion,moda
pepper,Qalapmir
busy,band
intervention,aralashuv
copy,nusxa ko'chirish
tip,uchi
cheap,arzon
aim,maqsad
cite,keltirish
welfare,farovonlik
vegetable,sabzavot
gray,kulrang
dish,taom
beach,plyaj
improvement,takomillashtirish
everywhere,hamma joyda
opening,ochilish
overall,umuman olganda
divide,bo'lmoq
initial,boshlang'ich
terrible,qo'rqinchli
oppose,qarshi chiqish
contemporary,zamonaviy
route,marshrut
multiple,bir nechta
essential,muhim
league,liga
criminal,jinoyatchi
careful,ehtiyot bo'ling
core,yadro
upper,yuqori
rush,shoshiling
necessarily,albatta
specifically,xususan
tired,charchagan
employ,ishga joylashtirmoq
holiday,bayram
vast,ulkan
resolution,qaror
household,uy xo'jaligi
fewer,kamroq
abortion,abort
apart,alohida
witness,guvoh
match,o'yin
barely,zo'rg'a
sector,sektor
representative,vakil
beneath,ostida
beside,yonida
incident,voqea
limited,cheklangan
proud,mag'rur
flow,oqim
faculty,fakultet
increased,ortdi
waste,chiqindilar
merely,shunchaki
mass,massa
emphasize,ta'kidlash
experiment,tajriba
definitely,albatta
bomb,bomba
enormous,juda katta
tone,ohang
liberal,liberal
massive,katta
engineer,muhandis
wheel,g'ildirak
decline,pasayish
invest,sarmoya kiritish
cable,kabel
towards,tomonga
expose,fosh qilmoq
rural,qishloq
AIDS,OITS
Jew,Yahudiy
narrow,tor
cream,qaymoq
secretary,kotib
gate,Darvoza
solid,qattiq
hill,tepalik
typically,odatda
noise,shovqin
grass,o't
unfortunately,afsuski
hat,shapka
legislation,qonunchilik
succeed,muvaffaqiyatga erishish
celebrate,nishonlamoq
achievement,muvaffaqiyat
fishing,baliq ovlash
accuse,ayblash
useful,foydali
reject,rad etish
talent,iste'dod
taste,ta'mi
characteristic,xarakterli
milk,sut
escape,qochish
cast,gips
sentence,hukm
unusual,g'ayrioddiy
closely,yaqindan
convince,ishontirish
height,balandlik
physician,shifokor
assess,baholash
plenty,mo'l-ko'l
virtually,deyarli
addition,qo'shimcha
sharp,o'tkir
creative,ijodiy
lower,pastroq
approve,tasdiqlash
explanation,tushuntirish
gay,gomoseksual
campus,talabalar shaharchasi
proper,to'g'ri
guilty,aybdor
acquire,sotib olmoq
compete,raqobatlashmoq
technical,texnik
plus,ortiqcha
immigrant,muhojir
weak,zaif
illegal,noqonuniy
hi,salom
alternative,muqobil
interaction,o'zaro ta'sir
column,ustun
personality,shaxsiyat
signal,signal
curriculum,o'quv dasturi
honor,sharaf
passenger,yo'lovchi
assistance,yordam
forever,abadiy
regard,e'tibor
Israeli,Isroil
association,uyushma
twenty,yigirma
knock,taqillatish
wrap,o'rash
lab,laboratoriya
display,displey
criticism,tanqid
asset,aktiv
depression,depressiya
spiritual,ma'naviy
musical,musiqiy
journalist,jurnalist
prayer,ibodat
suspect,shubhali
scholar,olim
warning,ogohlantirish
climate,iqlim
cheese,pishloq
observation,kuzatuv
childhood,bolalik
payment,to'lov
sir,janob
permit,ruxsatnoma
cigarette,sigaret
definition,ta'rifi
priority,ustuvorlik
bread,non
creation,yaratish
graduate,bitirmoq
request,so'rov
emotion,hissiyot
scream,qichqiriq
dramatic,dramatik
universe,koinot
gap,bo'shliq
excellent,zo'r
deeply,chuqur
prosecutor,prokuror
lucky,baxtli
drag,sudrab torting
airline,aviakompaniya
library,kutubxona
agenda,kun tartibi
recover,tiklanmoq
factory,zavod
selection,tanlov
primarily,birinchi navbatda
roof,tom
unable,qodir emas
expense,xarajatlar
initiative,tashabbus
diet,parhez
arrest,hibsga olish
funding,mablag '
therapy,terapiya
wash,yuvish
schedule,jadval
sad,qayg'uli
brief,qisqacha
housing,uy-joy
post,post
purchase,sotib olish
existing,mavjud
steel,po'lat
regarding,bilan bog'liq
shout,baqir
remaining,qolgan
visual,ingl
fairly,odilona
chip,chip
violent,zo'ravonlik
silent,jim
suppose,taxmin qilaylik
self,o'zini o'zi
bike,velosiped
tea,choy
perceive,sezmoq
comparison,taqqoslash
settlement,turar-joy
layer,qatlam
planning,rejalashtirish
description,tavsif
slide,slayd
widely,keng
wedding,to'y
inform,xabar berish
portion,qism
territory,hudud
immediate,darhol
opponent,raqib
abandon,tark etish
lake,ko'l
transform,o'zgartirish
tension,kuchlanish
leading,etakchi
bother,bezovta qil
consist,iborat
alcohol,spirtli ichimliklar
enable,yoqish
bend,egil
saving,tejash
desert,cho'l
shall,kerak
error,xato
cop,politsiyachi
Arab,Arab
double,ikki baravar
sand,qum
Spanish,Ispaniya
print,chop etish
preserve,saqlamoq
passage,o'tish joyi
formal,rasmiy
transition,o'tish
existence,mavjudlik
album,albom
participation,ishtirok etish
arrange,tartibga solish
atmosphere,atmosfera
joint,qo'shma
reply,javob
cycle,tsikl
opposite,qarama-qarshi
lock,qulflash
deserve,loyiq
consistent,izchil
resistance,qarshilik
discovery,kashfiyot
exposure,chalinish xavfi
pose,pozitsiya
stream,oqim
sale,sotish
pot,qozon
grand,katta
mine,meniki
hello,Salom
coalition,koalitsiya
tale,ertak
knife,pichoq
resolve,hal qilish
racial,irqiy
phase,bosqich
joke,hazil
coat,palto
Mexican,Meksikalik
symptom,simptom
manufacturer,ishlab chiqaruvchi
philosophy,falsafa
potato,kartoshka
foundation,poydevor
quote,tirnoq
online,onlayn
negotiation,muzokara
urge,da'vat
occasion,imkoniyat
dust,chang
breathe,nafas oling
elect,saylamoq
investigator,tergovchi
jacket,ko'ylagi
glad,xursandman
ordinary,oddiy
reduction,kamaytirish
rarely,kamdan-kam hollarda
pack,qadoqlash
suicide,o'z joniga qasd qilish
numerous,juda ko'p
substance,modda
discipline,intizom
elsewhere,boshqa joyda
iron,temir
practical,amaliy
moreover,bundan tashqari
passion,ehtiros
volunteer,ko'ngilli
implement,amalga oshirish
essentially,mohiyatan
gene,gen
enforcement,ijro etish
vs,va boshqalar
sauce,sous
independence,mustaqillik
marketing,marketing
priest,ruhoniy
amazing,ajoyib
intense,kuchli
advance,oldinga
employer,ish beruvchi
shock,zarba
inspire,ilhomlantirmoq
adjust,sozlash
retire,nafaqaga
visible,ko'rinadigan
kiss,o'pish
illness,kasallik
cap,qopqoq
habit,odat
competitive,raqobatdosh
juice,sharbat
congressional,Kongress
involvement,ishtirok etish
dominate,hukmronlik qilish
previously,ilgari
whenever,har doim
transfer,o'tkazish
analyze,tahlil qilish
attach,biriktirmoq
disaster,falokat
parking,avtoturargoh
prospect,istiqbol
boss,boshliq
complaint,shikoyat
championship,chempionat
fundamental,asosiy
severe,og'ir
enhance,oshirish
mystery,sir
impose,yuklamoq
poverty,qashshoqlik
entry,kirish
spending,sarflash
king,shoh
evaluate,baholash
symbol,belgi
maker,ishlab chiqaruvchi
mood,kayfiyat
accomplish,amalga oshirish
emphasis,urg'u
illustrate,tasvirlash
boot,yuklash
monitor,monitor
Asian,Osiyo
entertainment,o'yin-kulgi
bean,loviya
evaluation,baholash
creature,maxluq
commander,qo'mondon
digital,raqamli
arrangement,tartibga solish
concentrate,konsentrat
usual,odatiy
anger,g'azab
psychological,psixologik
heavily,og'ir
peak,tepalik
approximately,taxminan
increasing,ortib bormoqda
disorder,tartibsizlik
missile,raketa
equally,teng darajada
vary,farq qiladi
wire,sim
round,dumaloq
distribution,tarqatish
transportation,transport
holy,muqaddas
twin,egizak
command,buyruq
commission,komissiya
interpretation,talqin
breakfast,nonushta
strongly,kuchli
engineering,muhandislik
luck,omad
so-called,deb nomlangan
constant,doimiy
clinic,klinika
veteran,faxriy
smell,hid
tablespoon,osh qoshiq
capable,qobiliyatli
nervous,asabiy
tourist,sayyoh
toss,otish
crucial,hal qiluvchi
bury,dafn qilmoq
pray,ibodat qiling
tomato,pomidor
exception,istisno
butter,sariyog '
deficit,defitsit
bathroom,hammom
objective,ob'ektiv
electronic,elektron
ally,ittifoqchi
journey,sayohat
reputation,obro'-e'tibor
mixture,aralash
surely,albatta
tower,minora
smoke,tutun
confront,to'qnashmoq
pure,toza
glance,qarash
dimension,o'lchov
toy,o'yinchoq
prisoner,mahbus
fellow,o'rtoq
smooth,silliq
nearby,yaqin
peer,tengdosh
designer,dizayner
personnel,xodimlar
educator,tarbiyachi
relative,nisbiy
immigration,immigratsiya
belt,kamar
teaspoon,choy qoshiq
birthday,tug'ilgan kun
implication,xulosa
perfectly,Mukammal
coast,qirg'oq
supporter,qo'llab-quvvatlovchi
accompany,hamrohlik qilish
silver,kumush
teenager,o'spirin
recognition,tan olish
retirement,iste'fo
flag,bayroq
recovery,tiklanish
whisper,pichirlash
gentleman,janob
corn,makkajo'xori
moon,oy
inner,ichki
junior,kichik
throat,tomoq
salary,ish haqi
swing,belanchak
observer,kuzatuvchi
publication,nashr
crop,hosil
dig,qazish
permanent,doimiy
phenomenon,hodisa
anxiety,tashvish
unlike,farqli o'laroq
wet,ho'l
literally,so'zma-so'z
resist,qarshilik ko'rsatish
convention,anjuman
embrace,quchoqlamoq
assist,yordam berish
exhibition,ko'rgazma
construct,qurish
viewer,tomoshabin
pan,pan
consultant,maslahatchi
administrator,ma'mur
occasionally,vaqti-vaqti bilan
mayor,shahar hokimi
consideration,ko'rib chiqish
CEO,Bosh ijrochi direktor
secure,xavfsiz
pink,pushti
buck,buk
historic,tarixiy
poem,she'r
grandmother,buvi
bind,bog'lash
fifth,beshinchi
constantly,doimiy ravishda
enterprise,korxona
favor,yaxshilik
testing,sinov
stomach,oshqozon
apparent,aniq
weigh,tortmoq
install,o'rnatish
sensitive,sezgir
suggestion,taklif
mail,pochta
recipe,retsept
reasonable,oqilona
preparation,tayyorgarlik
wooden,yog'och
elementary,boshlang'ich
concert,konsert
aggressive,tajovuzkor
False,Yolg'on
intention,niyat
channel,kanal
extreme,haddan tashqari
tube,naycha
drawing,rasm chizish
protein,oqsil
quit,chiqish
absence,yo'qlik
Latin,Lotin
rapidly,tez
jail,qamoq
diversity,xilma-xillik
honest,halol
Palestinian,Falastin
pace,sur'at
employment,ish bilan ta'minlash
speaker,ma'ruzachi
impression,taassurot
essay,insho
respondent,javob beruvchi
giant,ulkan
cake,tort
historian,tarixchi
negotiate,muzokara olib borish
restore,tiklash
substantial,muhim
pop,pop
specialist,mutaxassis
origin,kelib chiqishi
approval,tasdiqlash
quietly,sekin
advise,maslahat bering
conventional,an'anaviy
depth,chuqurlik
wealth,boylik
disability,nogironlik
shell,qobiq
criticize,tanqid qilmoq
effectively,samarali
biological,biologik
onion,piyoz
deputy,deputat
flat,yassi
brand,tovar belgisi
assure,ishontirish
mad,Telba
award,mukofot
criteria,mezonlar
dealer,diler
via,orqali
utility,qulaylik
precisely,aniq
arise,paydo bo'lish
armed,qurollangan
nevertheless,baribir
highway,magistral yo'l
clinical,klinik
routine,muntazam
wage,ish haqi
normally,odatda
phrase,ibora
ingredient,ingredient
stake,qoziq
Muslim,Musulmon
fiber,tola
activist,faol
Islamic,Islomiy
snap,tez
terrorism,terrorizm
refugee,qochoq
incorporate,qo'shmoq
hip,kestirib
ultimate,yakuniy
switch,almashtirish
corporation,korporatsiya
valuable,qimmatli
assumption,taxmin
gear,vites
barrier,to'siq
minor,voyaga etmagan
provision,ta'minot
killer,qotil
assign,tayinlamoq
gang,to'da
developing,rivojlanmoqda
classic,klassik
chemical,kimyoviy
label,yorliq
teen,o'spirin
index,indeks
vacation,ta'til
advocate,advokat
draft,qoralama
extraordinary,ajoyib
heaven,jannat
rough,qo'pol
yell,baqirmoq
pregnant,homilador
distant,uzoq
drama,drama
satellite,sun'iy yo'ldosh
personally,shaxsan
clock,soat
chocolate,shokolad
Italian,Italyancha
Canadian,Kanadalik
ceiling,ship
sweep,supurish
advertising,reklama
universal,universal
spin,aylantirish
button,tugmasi
bell,qo'ng'iroq
rank,daraja
darkness,zulmat
clothing,kiyim-kechak
super,super
yield,Yo'l bering
fence,panjara
portrait,portret
survival,omon qolish
roughly,taxminan
lawsuit,sud jarayoni
testimony,guvohlik
bunch,shamlardan
found,topildi
burden,yuk
react,reaktsiya berish
chamber,kamera
furniture,mebel
cooperation,hamkorlik
string,mag'lubiyat
ceremony,marosim
communicate,muloqot qilish
cheek,yonoq
lost,yo'qolgan
profile,profil
mechanism,mexanizm
disagree,rozi emas
penalty,jarima
ie,ya'ni
resort,kurort
destruction,yo'q qilish
unlikely,ehtimoldan yiroq
tissue,to'qima
constitutional,konstitutsiyaviy
pant,shim
stranger,begona
infection,infektsiya
cabinet,kabinet
broken,singan
apple,olma
electric,elektr
proceed,davom eting
bet,garov
literary,adabiy
virus,virus
stupid,ahmoq
dispute,nizo
fortune,boylik
strategic,strategik
assistant,yordamchi
overcome,yengish
remarkable,ajoyib
occupy,egallamoq
statistics,statistika
shopping,xarid qilish
cousin,amakivachcha
encounter,uchrashmoq
wipe,arting
initially,dastlab
blind,ko'r
port,port
electricity,elektr energiyasi
genetic,genetik
adviser,maslahatchi
spokesman,vakili
retain,saqlamoq
latter,ikkinchisi
incentive,rag'batlantirish
slave,qul
translate,tarjima qilish
accurate,aniq
whereas,Holbuki
terror,terror
expansion,kengayish
elite,elita
Olympic,Olimpiya o'yinlari
dirt,axloqsizlik
odd,g'alati
rice,guruch
bullet,o'q
tight,qattiq
Bible,Injil
chart,jadval
solar,quyosh
square,kvadrat
concentration,diqqat
complicated,murakkab
gently,muloyimlik bilan
champion,chempion
scenario,stsenariy
telescope,teleskop
reflection,aks ettirish
revolution,inqilob
strip,Ip
interpret,izohlash
friendly,do'stona
tournament,turnir
fiction,fantastika
detect,aniqlash
tremendous,ulkan
lifetime,muddat
recommendation,tavsiya
senator,senator
hunting,ov qilish
salad,salat
guarantee,kafolat
innocent,aybsiz
boundary,chegara
pause,pauza
remote,uzoqdan
satisfaction,qoniqish
journal,jurnal
bench,skameyka
lover,sevgilisi
raw,xom
awareness,xabardorlik
surprising,ajablanarli
withdraw,chekinmoq
deck,pastki
similarly,xuddi shunday
newly,Yangi
pole,qutb
testify,guvohlik bering
mode,rejimi
dialogue,dialog
imply,nazarda tutmoq
naturally,tabiiy ravishda
mutual,o'zaro
founder,asoschisi
advanced,rivojlangan
pride,mag'rurlik
dismiss,ishdan bo'shatish
aircraft,samolyot
delivery,etkazib berish
mainly,asosan
bake,pishirish
freeze,muzlash
platform,platforma
finance,Moliya
sink,cho'kish
attractive,jozibali
diverse,xilma-xil
relevant,muvofiq
ideal,ideal
joy,quvonch
regularly,muntazam ravishda
working,ishlaydigan
singer,ashulachi
evolve,rivojlanmoqda
shooting,otish
partly,qisman
unknown,noma'lum
offense,jinoyat
counter,hisoblagich
DNA,DNK
potentially,potentsial
thirty,o'ttiz
justify,oqlash
protest,norozilik
crash,halokat
craft,hunarmandchilik
treaty,shartnoma
terrorist,terrorchi
insight,tushuncha
possess,egalik qilmoq
politically,siyosiy jihatdan
tap,ga teging
extensive,keng
episode,epizod
swim,suzish
tire,shinalar
fault,ayb
loose,bo'shashgan
shortly,qisqa vaqt ichida
originally,dastlab
considerable,sezilarli
prior,oldin
intellectual,intellektual
assault,hujum
relax,Rohatlaning
stair,narvon
adventure,sarguzasht
external,tashqi
proof,dalil
confident,o'ziga ishongan
headquarters,shtab-kvartirasi
sudden,to'satdan
dirty,iflos
violation,buzilish
tongue,til
license,litsenziya
shelter,boshpana
rub,silamoq
controversy,tortishuv
entrance,Kirish
properly,to'g'ri
fade,xira
defensive,mudofaa
tragedy,fojia
net,to'r
characterize,xarakterlash
funeral,dafn marosimi
profession,kasb
alter,o'zgartirish
constitute,tashkil etadi
establishment,muassasa
squeeze,siqish
imagination,tasavvur
mask,niqob
convert,aylantirish
comprehensive,keng qamrovli
prominent,taniqli
presentation,taqdimot
regardless,qat'i nazar
load,yuk
stable,barqaror
introduction,kirish
pretend,go'yo
elderly,qariyalar
representation,vakillik
deer,kiyik
split,Split
violate,buzmoq
partnership,hamkorlik
pollution,ifloslanish
emission,emissiya
steady,barqaror
vital,hayotiy
fate,taqdir
earnings,daromad
oven,pech
distinction,farqlash
segment,segment
nowhere,hech qaerda
poet,shoir
mere,shunchaki
exciting,hayajonli
variation,o'zgaruvchanlik
comfort,qulaylik
radical,radikal
adapt,moslashmoq
Irish,Irland
honey,asal
correspondent,muxbir
pale,rangpar
musician,musiqachi
significance,ahamiyati
vessel,idish
storage,saqlash
flee,qochmoq
mm-hmm,mm-hmm
leather,teri
distribute,tarqatmoq
evolution,evolyutsiya
ill,kasal
tribe,qabila
shelf,raf
grandfather,bobo
lawn,maysazor
buyer,xaridor
dining,ovqatlanish
wisdom,donolik
council,kengash
vulnerable,zaif
instance,misol
garlic,sarimsoq
capability,qobiliyat
poetry,she'riyat
celebrity,mashhurlik
gradually,asta-sekin
stability,barqarorlik
fantasy,xayol
scared,qo'rqib ketdi
plot,fitna
framework,ramka
gesture,imo-ishora
depending,qarab
ongoing,davom etayotgan
psychology,psixologiya
counselor,maslahatchi
chapter,bob
divorce,ajralish
owe,qarzdor
pipe,quvur
athletic,sport
slight,ozgina
math,matematik
shade,soya
tail,quyruq
sustain,qo'llab-quvvatlamoq
mount,o'rnatish
obligation,majburiyat
angle,burchak
palm,kaft
differ,farq qiladi
custom,odatiy
economist,iqtisodchi
fifteen,o'n besh
soup,osh
celebration,bayram
efficient,samarali
composition,tarkibi
satisfy,qondirmoq
pile,qoziq
briefly,qisqacha
carbon,uglerod
closer,yaqinroq
consume,iste'mol
scheme,sxema
crack,yorilish
frequency,chastota
tobacco,tamaki
survivor,tirik qolgan
besides,bundan tashqari
psychologist,psixolog
wealthy,boy
galaxy,galaktika
given,berilgan
ski,chang'i
limitation,cheklash
trace,iz
appointment,uchrashuv
preference,afzallik
meter,metr
explosion,portlash
publicly,ommaviy ravishda
incredible,aql bovar qilmaydigan
fighter,qiruvchi
rapid,tezkor
admission,kirish
hunter,ovchi
educate,tarbiyalash
painful,alamli
friendship,do'stlik
aide,yordamchi
infant,go'dak
calculate,hisoblash
fifty,ellik
rid,xalos
porch,ayvon
tendency,moyillik
uniform,bir xil
formation,shakllanish
scholarship,stipendiya
reservation,bron qilish
efficiency,samaradorlik
qualify,saralash
mall,savdo markazi
derive,hosil qilmoq
scandal,janjal
PC,Kompyuter
helpful,foydali
impress,taassurot qoldirmoq
heel,tovon
resemble,o'xshash
privacy,maxfiylik
fabric,mato
contest,tanlov
proportion,mutanosiblik
guideline,ko'rsatma
rifle,miltiq
maintenance,texnik xizmat ko'rsatish
conviction,ishonchlilik
trick,hiyla
organic,organik
tent,chodir
examination,imtihon
publisher,noshir
strengthen,mustahkamlash
proposed,taklif qilingan
myth,afsona
sophisticated,murakkab
cow,sigir
etc,va boshqalar
standing,tik turib
asleep,uxlab yotgan
tennis,tennis
nerve,asab
barrel,bochka
bombing,bombardimon qilish
membership,A'zolik
ratio,nisbat
menu,menyu
controversial,bahsli
desperate,umidsiz
lifestyle,turmush tarzi
humor,hazil
loud,baland
glove,qo'lqop
sufficient,etarli
narrative,hikoya
photographer,fotograf
helicopter,vertolyot
modest,kamtarona
provider,provayder
delay,kechikish
agricultural,qishloq xo'jaligi
explode,portlash
stroke,qon tomir
scope,qamrov doirasi
punishment,jazo
handful,hovuch
badly,yomon
horizon,ufq
curious,qiziquvchan
downtown,shahar markazida
girlfriend,qiz do'sti
prompt,tezkor
cholesterol,xolesterin
absorb,singdirmoq
adjustment,moslashish
taxpayer,soliq to'lovchi
eager,g'ayratli
principal,asosiy
detailed,batafsil
motivation,motivatsiya
assignment,topshiriq
restriction,cheklash
laboratory,laboratoriya
workshop,ustaxona
differently,boshqacha
auto,avtomatik
romantic,romantik
cotton,paxta
motor,vosita
sue,sudga berish
flavor,lazzat
overlook,e'tibordan chetda qoldirish
float,suzmoq
undergo,duchor
sequence,ketma-ketlik
demonstration,namoyish
jet,samolyot
orange,apelsin
consumption,iste'mol
assert,tasdiqlash
blade,pichoq
temporary,vaqtinchalik
medication,dorilar
cabin,idishni
bite,tishlamoq
edition,nashr
valley,vodiy
yours,seniki
pitch,balandlik
pine,qarag'ay
brilliant,yorqin
versus,ga qarshi
manufacturing,ishlab chiqarish
absolute,mutlaq
chef,oshpaz
discrimination,kamsitish
offensive,tajovuzkor
boom,portlash
register,ro'yxatdan o'tish
appoint,tayinlamoq
heritage,meros
God,Xudo
dominant,dominant
successfully,muvaffaqiyatli
shit,bok
lemon,limon
hungry,och
wander,adashmoq
submit,topshirish
economics,iqtisodiyot
naked,yalang'och
anticipate,kutmoq
nut,yong'oq
legacy,meros
extension,kengaytma
shrug,yelka qisish
battery,batareya
arrival,kelish
legitimate,qonuniy
orientation,yo'nalish
inflation,inflyatsiya
cope,engish
flame,alanga
cluster,klaster
wound,yara
dependent,qaram
shower,dush
institutional,institutsional
depict,tasvirlash
operating,operatsion
flesh,go'sht
garage,garaj
operator,operator
instructor,o'qituvchi
collapse,qulash
borrow,qarz olish
furthermore,bundan tashqari
comedy,komediya
mortgage,ipoteka
sanction,sanktsiya
civilian,fuqarolik
twelve,o'n ikki
weekly,haftalik
habitat,yashash joyi
grain,don
brush,cho'tka
consciousness,ong
devote,bag'ishlang
measurement,o'lchov
province,viloyat
ease,osonlik
seize,ushlamoq
ethics,axloq
nomination,nomzodlik
permission,ruxsat
wise,dono
actress,aktrisa
summit,sammit
acid,kislota
odds,koeffitsientlar
gifted,iqtidorli
frustration,umidsizlik
medium,o'rta
physically,jismoniy
distinguish,ajratmoq
shore,qirg'oq
repeatedly,qayta-qayta
lung,o'pka
running,yugurish
distinct,aniq
artistic,badiiy
discourse,nutq
basket,savat
ah,ah
fighting,jang qilish
impressive,ta'sirchan
competitor,raqib
ugly,xunuk
worried,xavotirda
portray,tasvirlash
powder,kukun
ghost,arvoh
persuade,ishontirish
moderate,o'rtacha
subsequent,keyingi
continued,davom etdi
cookie,pechene
carrier,tashuvchi
cooking,pishirish
frequent,tez-tez
ban,taqiqlash
awful,dahshatli
admire,qoyil qolish
pet,Uy hayvoni
miracle,mo''jiza
exceed,oshib ketish
rhythm,ritm
widespread,keng tarqalgan
killing,o'ldirish
lovely,yoqimli
sin,gunoh
charity,xayriya
script,skript
tactic,taktika
identification,identifikatsiya qilish
transformation,o'zgartirish
everyday,har kuni
headline,sarlavha
venture,shovqin
invasion,bosqin
nonetheless,baribir
adequate,etarli
piano,pianino
grocery,oziq-ovqat
intensity,intensivlik
exhibit,ko'rgazma
blanket,adyol
margin,margin
quarterback,yarim himoyachi
mouse,sichqoncha
rope,arqon
concrete,beton
prescription,retsept
African-American,Afroamerikalik
chase,ketidan quvmoq
brick,g'isht
recruit,yollash
patch,yamoq
consensus,Kelishuv
horror,dahshat
recording,yozib olish
changing,o'zgaruvchan
painter,rassom
colonial,mustamlaka
pie,pirog
sake,xayr
gaze,qarash
courage,jasorat
pregnancy,homiladorlik
swear,qasam ichish
defeat,mag'lubiyat
clue,maslahat
reinforce,mustahkamlamoq
confusion,chalkashlik
slice,tilim
occupation,kasb
dear,azizim
coal,ko'mir
sacred,muqaddas
formula,formula
cognitive,kognitiv
collective,jamoaviy
exact,aniq
uncle,amaki
captain,kapitan
sigh,xo'rsin
attribute,xususiyat
dare,jur'at
homeless,uysiz
gallery,galereya
soccer,futbol
defendant,sudlanuvchi
tunnel,tunnel
fitness,fitness
lap,aylana
grave,qabr
toe,oyoq barmog'i
container,idish
virtue,fazilat
abroad,chet elda
architect,me'mor
dramatically,keskin
makeup,pardoz
inquiry,so'rov
rose,atirgul
surprisingly,ajablanarli
highlight,ajratib ko'rsatish
decrease,pasayish
indication,ko'rsatma
rail,temir yo'l
anniversary,yubiley
couch,divan
alliance,ittifoq
hypothesis,gipoteza
boyfriend,yigit
compose,tuzmoq
mess,tartibsizlik
legend,afsona
regulate,tartibga solish
adolescent,o'spirin
shine,porlash
norm,norma
upset,xafa
remark,izoh
resign,iste'foga chiqish
reward,mukofot
gentle,muloyim
related,bog'liq
organ,organ
lightly,engil
concerning,haqida
invent,o'ylab topmoq
laughter,kulgu
northwest,shimoli g'arbiy
counseling,maslahat
receiver,qabul qiluvchi
ritual,marosim
insect,hasharot
interrupt,uzmoq
salmon,go'shti Qizil baliq
trading,savdo
magic,sehr
superior,ustun
combat,jang
stem,ildiz
surgeon,jarroh
acceptable,maqbul
physics,fizika
rape,zo'rlash
counsel,maslahat
jeans,jinsi shimlar
hunt,ov qilish
continuous,davomiy
log,jurnal
echo,aks sado
pill,hap
excited,hayajonlangan
sculpture,haykaltaroshlik
compound,birikma
integrate,birlashtirmoq
flour,un
bitter,achchiq
bare,yalang'och
slope,Nishab
rent,ijara
presidency,prezidentlik
serving,xizmat qilish
subtle,nozik
greatly,juda katta
bishop,episkop
drinking,ichish
acceptance,qabul qilish
pump,nasos
candy,shirinlik
evil,yovuzlik
pleased,mamnun
medal,medal
beg,iltimos qiling
sponsor,homiy
ethical,axloqiy
secondary,ikkilamchi
slam,slam
export,eksport
experimental,eksperimental
melt,eritmoq
midnight,yarim tunda
curve,egri chiziq
integrity,yaxlitlik
entitle,huquq
evident,aniq
logic,mantiq
essence,mohiyat
exclude,chiqarib tashlash
harsh,qattiq
closet,shkaf
suburban,shahar atrofi
greet,salom
interior,ichki makon
corridor,yo'lak
retail,chakana savdo
pitcher,krujka
march,yurish
snake,ilon
excuse,uzr
weakness,zaiflik
pig,cho'chqa
classical,klassik
estimated,taxmin qilingan
T-shirt,Futbolka
unemployment,ishsizlik
civilization,tsivilizatsiya
fold,katlama
reverse,teskari
missing,yo'qolgan
correlation,o'zaro bog'liqlik
humanity,insoniyat
flash,miltillovchi
developer,ishlab chiquvchi
reliable,ishonchli
excitement,hayajon
beef,mol go'shti
Islam,Islom
Roman,Rim
architecture,me'morchilik
occasional,vaqti-vaqti bilan
administrative,ma'muriy
elbow,tirsak
deadly,halokatli
Hispanic,Ispancha
allegation,da'vo
confuse,aralashtirmoq
airplane,samolyot
monthly,oylik
duck,o'rdak
dose,doza
Korean,Koreys
plead,yolvorish
initiate,boshlash
lecture,leksiya
van,furgon
sixth,oltinchi
bay,dafna
mainstream,asosiy oqim
suburb,shahar atrofi
sandwich,sendvich
trunk,magistral
rumor,mish-mish
implementation,amalga oshirish
swallow,yutmoq
motivate,turtki berish
render,ko'rsatish
longtime,uzoq vaqt
trap,tuzoq
restrict,cheklash
cloth,mato
seemingly,aftidan
legislative,qonun chiqaruvchi
effectiveness,samaradorlik
enforce,majburlash
lens,ob'ektiv
inspector,tekshiruvchi
lend,qarz berish
plain,tekis
fraud,firibgarlik
companion,hamrohi
contend,bahslashmoq
nail,mix
array,qator
strict,qattiq
assemble,yig'moq
frankly,ochiqchasiga
rat,kalamush
hay,pichan
hallway,yo'lak
cave,g'or
inevitable,muqarrar
southwest,janubi-g'arbiy
monster,hayvon
unexpected,kutilmagan
obstacle,to'siq
facilitate,osonlashtirmoq
rip,joyi jannatda bo'lsin
herb,o't
overwhelming,juda katta
integration,integratsiya
crystal,kristall
recession,turg'unlik
written,yozilgan
motive,sabab
flood,toshqin
pen,qalam
ownership,mulkchilik
nightmare,kabus
inspection,tekshirish
supervisor,nazoratchi
consult,maslahatlashing
arena,maydon
diagnosis,tashxis
possession,egalik qilish
forgive,kechir
consistently,doimiy ravishda
basement,podval
drift,drift
drain,drenaj
prosecution,prokuratura
maximum,maksimal
announcement,e'lon
warrior,jangchi
prediction,bashorat qilish
bacteria,bakteriyalar
questionnaire,anketa
mud,loy
infrastructure,infratuzilma
hurry,shoshiling
privilege,imtiyoz
temple,ma'bad
outdoor,ochiq
suck,emish
and/or,va / yoki
broadcast,translyatsiya
re,qayta
leap,sakrash
random,tasodifiy
wrist,bilak
curtain,parda
pond,suv havzasi
domain,domen
guilt,ayb
